,filename,time,w_pre,w
209,MOD05_L2.A2014026.2040.061.2017308173843.hdf,20140262040,-9999.0,-9.999000474927016
210,MOD05_L2.A2014026.2220.061.2017308173713.hdf,20140262220,-9999.0,-9.999000474927016
211,MOD05_L2.A2014026.2355.061.2017308173522.hdf,20140262355,-9999.0,-9.999000474927016
212,MOD05_L2.A2014027.1140.061.2017308173821.hdf,20140271140,-9999.0,-9.999000474927016
213,MOD05_L2.A2014027.1315.061.2017308173653.hdf,20140271315,-9999.0,-9.999000474927016
214,MOD05_L2.A2014027.1455.061.2017308174136.hdf,20140271455,-9999.0,-9.999000474927016
215,MOD05_L2.A2014027.1630.061.2017308173629.hdf,20140271630,-9999.0,-9.999000474927016
216,MOD05_L2.A2014027.1810.061.2017308174138.hdf,20140271810,-9999.0,-9.999000474927016
217,MOD05_L2.A2014027.1945.061.2017308174127.hdf,20140271945,-9999.0,-9.999000474927016
218,MOD05_L2.A2014027.2125.061.2017308174200.hdf,20140272125,-9999.0,-9.999000474927016
219,MOD05_L2.A2014027.2300.061.2017308174126.hdf,20140272300,-9999.0,-9.999000474927016
220,MOD05_L2.A2014028.1220.061.2017308174714.hdf,20140281220,-9999.0,-9.999000474927016
221,MOD05_L2.A2014028.1400.061.2017308174432.hdf,20140281400,-9999.0,-9.999000474927016
222,MOD05_L2.A2014028.1535.061.2017308174808.hdf,20140281535,-9999.0,-9.999000474927016
223,MOD05_L2.A2014028.1715.061.2017308174932.hdf,20140281715,-9999.0,-9.999000474927016
224,MOD05_L2.A2014028.1850.061.2017308174932.hdf,20140281850,-9999.0,-9.999000474927016
225,MOD05_L2.A2014028.2030.061.2017308174900.hdf,20140282030,-9999.0,-9.999000474927016
226,MOD05_L2.A2014028.2205.061.2017308174754.hdf,20140282205,-9999.0,-9.999000474927016
227,MOD05_L2.A2014028.2345.061.2017308174810.hdf,20140282345,-9999.0,-9.999000474927016
228,MOD05_L2.A2014029.1125.061.2017308175622.hdf,20140291125,-9999.0,-9.999000474927016
229,MOD05_L2.A2014029.1305.061.2017308175415.hdf,20140291305,-9999.0,-9.999000474927016
230,MOD05_L2.A2014029.1440.061.2017308175348.hdf,20140291440,-9999.0,-9.999000474927016
231,MOD05_L2.A2014029.1620.061.2017308175329.hdf,20140291620,-9999.0,-9.999000474927016
232,MOD05_L2.A2014029.1755.061.2017308175418.hdf,20140291755,-9999.0,-9.999000474927016
233,MOD05_L2.A2014029.1935.061.2017308175400.hdf,20140291935,-9999.0,-9.999000474927016
234,MOD05_L2.A2014029.2110.061.2017308175531.hdf,20140292110,-9999.0,-9.999000474927016
235,MOD05_L2.A2014029.2250.061.2017308175715.hdf,20140292250,-9999.0,-9.999000474927016
236,MOD05_L2.A2014030.0030.061.2017308213818.hdf,20140300030,-9999.0,-9.999000474927016
237,MOD05_L2.A2014030.1210.061.2017308213432.hdf,20140301210,-9999.0,-9.999000474927016
